"so_domain","so_nbr","so_ship","sod_line","sod_site","sod_due_date","sod_qty_ord","sod_price","sod_disc_pct","ad_name_src","ad_line1_src","ad_line2_src","ad_city_src","ad_state_src","ad_zip_src","ad_county_src","ad_ctry_src","ad_country_src","ad_name_dest","ad_line1_dest","ad_line2_dest","ad_city_dest","ad_state_dest","ad_zip_dest","ad_county_dest","ad_ctry_dest","ad_country_dest"
"10USA","00000001","10C1003",23,"10-100",08/08/15,2,9.9,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",24,"10-100",11/07/15,5,11.88,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",25,"10-100",08/08/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000002","10C1001",1,"10-100",08/23/15,19,11,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","00000002","10C1001",2,"10-100",09/02/15,20,10,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","00000002","10C1001",3,"10-100",09/02/15,10,10,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","00000002","10C1001",4,"10-100",09/02/15,1,10,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","00000002","10C1001",5,"10-100",09/02/15,1,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","00000002","10C1001",6,"10-100",09/02/15,1,1000,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","00000002","10C1001",7,"10-100",08/30/15,1,2475,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",1,"10-100",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",2,"10-100",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",3,"10-100",08/05/15,1,5106.55475,1.02617017,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",4,"10-100",08/05/15,0,8314,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",5,"10-100",08/05/15,1,5106.55475,1.02617017,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",6,"10-100",08/05/15,1,5.595975,5.95,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",7,"10-100",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",8,"10-100",08/05/15,101,.9405,5.95,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",9,"10-100",08/05/15,0,11,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",10,"10-100",08/05/15,10,5.595975,5.95,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",11,"10-100",08/05/15,0,5.595975,5.95,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",12,"10-100",11/07/15,2,11.88,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000001","10c1001",13,"10-100",08/05/15,1,2475,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",1,"10-100",07/24/15,100,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",2,"10-100",08/03/15,10,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",3,"10-100",08/05/15,10,10,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",4,"10-100",08/05/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",5,"10-100",08/05/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",6,"10-100",08/05/15,0,1000,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",7,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",8,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",9,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",10,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",11,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",12,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",13,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",14,"10-100",08/01/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002","10c1001",15,"10-100",08/01/15,0,2475,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","MediLogic","827 Starview Way","","Bridgewater","NJ","08807","","USA","USA"
"10USA","0000002a","10-100",1,"10-100",09/17/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE"
"10USA","0000002a","10-100",2,"10-100",09/17/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE"
"10USA","0000002a","10-100",3,"10-100",09/17/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",1,"10-100",08/05/15,1,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",2,"10-400",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",3,"10-100",08/05/15,2,122,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",4,"10-100",08/05/15,1,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",5,"10-400",08/05/15,1,8.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",6,"10-100",08/05/15,1,122,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",7,"10-400",08/05/15,1,22,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000004","10C1000",8,"10-400",08/05/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000005","10c1000",1,"10-100",08/05/15,3,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000005","10c1000",2,"10-100",08/05/15,10,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000005","10c1000",3,"10-100",08/05/15,0,10,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000005","10c1000",4,"10-100",08/05/15,0,6570,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000005","10c1000",5,"10-100",08/05/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000005","10c1000",6,"10-100",08/05/15,0,5,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Wal-Mart","702 S.W. 8th Street","Waterfront","Bentonville","AR","72716","","USA","USA - TAX PURPOSE"
"10USA","0000010","10c1002",1,"10-100",08/05/15,1,5,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",1,"10-200",08/05/15,1,21.78,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",2,"10-200",08/05/15,1,21.78,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",3,"10-200",08/05/15,1,21.78,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",4,"10-100",08/05/15,0,7605,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",5,"10-100",08/05/15,0,5,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",6,"10-100",08/05/15,1,990,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",7,"10-200",08/05/15,1,21.78,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",8,"10-100",08/05/15,10,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",9,"10-200",08/05/15,0,1306.8,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",10,"10-200",08/05/15,1,1306.8,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000011","10c1002",11,"10-200",08/05/15,1,935.55,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000012","10C1003",1,"10-100",08/05/15,1,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","0000012","10C1003",2,"10-100",08/05/15,1,122,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","0000012","10C1003",3,"10-100",08/05/15,3,4341.5,5,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","0000012","10C1003",4,"10-100",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","0000012","10C1003",5,"10-100",08/05/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","0000012","10C1003",6,"10-100",08/05/15,5,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","0000013","10c1002",1,"10-100",08/05/15,0,2875,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000013","10c1002",2,"10-100",08/05/15,0,2875,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000014","10c1002",1,"10-200",08/05/15,1,22.77,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000014","10c1002",2,"10-100",08/05/15,1,120.78,1,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
"10USA","0000016","10c1002",1,"10-100",08/05/15,2,122,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Houston Automotive Group","801 Louisiana, Suite 700","","Houston","TX","77002","","USA","USA - TAX PURPOSE"
